FILE_ID	SENTENCE	GENE	PHENOTYPE	GENE_ID	PHENOTYPE_ID	GENE_START_POSITION	GENE_END_POSITION	PHENOTYPE_START_POSITION	PHENOTYPE_END_POSITION	RELATION
26489614	Previous studies have reported the association of prodynorphin (PDYN) promoter polymorphism with temporal lobe epilepsy (TLE) susceptibility, but the results remain inconclusive.	PDYN	epilepsy	5173	HP_0001250	64	68	111	119	False
28769069	The remaining cases, clinically similar to XLA, are autosomal recessive agammaglobulinemia (ARA).	XLA	autosomal recessive	695	HP_0000007	43	46	52	71	False
28769069	The remaining cases, clinically similar to XLA, are autosomal recessive agammaglobulinemia (ARA).	ARA	autosomal recessive	368	HP_0000007	92	95	52	71	True
30396386	<i>Background:</i> YAP/TAZ have been reported to be highly expressed in malignant tumors.	YAP	tumors	55249	HP_0002664	19	22	82	88	False
30396386	<i>Background:</i> YAP/TAZ have been reported to be highly expressed in malignant tumors.	TAZ	tumors	25937	HP_0002664	23	26	82	88	False
30396386	This research was aimed to study the expression of TAZ/YAP protein in malignant melanoma and to investigate its relationship to the clinicopathology and prognosis of patients with malignant melanoma.	YAP	malignant melanoma	55249	HP_0002861	55	58	70	88	False
30396386	This research was aimed to study the expression of TAZ/YAP protein in malignant melanoma and to investigate its relationship to the clinicopathology and prognosis of patients with malignant melanoma.	TAZ	malignant melanoma	25937	HP_0002861	51	54	70	88	False
30396386	Relationship between TAZ/YAP and clinical data of malignant melanoma were analyzed.	YAP	malignant melanoma	55249	HP_0002861	25	28	50	68	False
30396386	Relationship between TAZ/YAP and clinical data of malignant melanoma were analyzed.	TAZ	malignant melanoma	25937	HP_0002861	21	24	50	68	False
30396386	<i>Results:</i> The number of positive cells of TAZ and YAP in malignant melanoma tumor tissues was significantly higher than that in melanocytic nevi tissues, and the expression of both proteins was positively correlated with malignant melanoma (r = 0.687, P &lt;0.01); TAZ and YAP protein expression in malignant melanoma tissue was significantly correlated with tumor thickness, invasive depth grade, lymph node metastasis and TNM stages (P &lt;0.05), and increased with TNM staging.	YAP	malignant melanoma	55249	HP_0002861	56	59	63	81	False
